주차장명1,주차구획수1,접근성,수요성,통행량,가용성,활동성,Weighted Distance Sum,geometry1,좌표1,접근성 등급,수요성 등급,통행량 등급,가용성 등급,활동성 등급
서구청 앞&을지병원주변&을지병원 주변 노상주차장,142대&153대&154대,10,10,10,10,10,256.9232174,"POLYGON ((127.38054305441118 36.35418681807782, 127.38056498797512 36.358692618453, 127.38613566839366 36.35867474585645, 127.38611341378726 36.35416894840705, 127.38054305441118 36.35418681807782))","(36.35505601, 127.3833576), (36.35530056, 127.381988), (36.35530056, 127.381988)",A+,A+,A+,A+,A+
용문동 공영주차장,28대,10,10,9,10,9,262.40794,"POLYGON ((127.39159351575462 36.33612760697664, 127.39161607135482 36.34063341512648, 127.397185458082 36.34061503516167, 127.39716258172669 36.33610923002128, 127.39159351575462 36.33612760697664))","(36.3368168, 127.3937159)",A+,A+,A,A+,A
용두동제3노상&오류동제6노&용두동제3노상&용두동제2노외&오류동제6노상&용두동제2노외,31대&7대&31대&13대&7대&13대,9,9,8,9,8,271.8353519,"POLYGON ((127.40268526385319 36.32707897914572, 127.40270845066067 36.33158478806891, 127.40827718571936 36.33156589522619, 127.4082536783015 36.32706008939672, 127.40268526385319 36.32707897914572))","(36.33101961, 127.4054666), (36.32712348, 127.4038104), (36.33101961, 127.4054666), (36.32725843, 127.4078469), (36.32712348, 127.4038104), (36.32725843, 127.4078469)",A,A,B+,A,B+
선화동제1노외&선화동제1노외&선화교 하상주차장(삼성동 삼성빌라맨션앞)&선화교 하상주차장(삼성동 삼성빌라맨션앞),113대&113대&70대&70대,8,8,7,8,7,280.4799937,"POLYGON ((127.41941464010091 36.33152733120028, 127.41943879409988 36.33603312729649, 127.42500783395829 36.33601345289334, 127.42498335928136 36.331507660018666, 127.41941464010091 36.33152733120028))","(36.33230442, 127.4202841), (36.33230442, 127.4202841), (36.33476369, 127.4242191), (36.33476369, 127.4242191)",B+,B+,B,B+,B
문화2동제4노상&문화2동제4노상&문화2동제2노상&문화2동제2노상,37대&37대&15대&15대,7,7,6,7,6,286.2032693,"POLYGON ((127.39702543024005 36.30907432742564, 127.39704827613107 36.31358015306613, 127.40261573432102 36.313561531874136, 127.40259256810313 36.3090557092835, 127.39702543024005 36.30907432742564))","(36.30967208, 127.4022519), (36.30967208, 127.4022519), (36.3108995, 127.399076), (36.3108995, 127.399076)",B,B,C+,B,C+
합내길(구 가양1동사무소 앞)&합내길(구 가양1동사무소 앞),78대&44대,6,6,6,5,5,293.2856458,"POLYGON ((127.4361961460908 36.34498488797544, 127.43622127886033 36.34949066402021, 127.44179126464589 36.34947020110858, 127.44176581098841 36.344964428413945, 127.4361961460908 36.34498488797544))","(36.34756523, 127.4401233), (36.34756523, 127.4401233)",C+,C+,C+,C,C
가양동 가양천 복개길&가양동 가양천 복개길,89대&50대,5,5,5,5,4,301.821302,"POLYGON ((127.4417403629836 36.340458652298985, 127.44176581098841 36.344964428413945, 127.44733547023337 36.344943709282724, 127.44730970141318 36.34043793656, 127.4417403629836 36.340458652298985))","(36.34405384, 127.4424328), (36.34405384, 127.4424328)",C,C,C,C,D+
안영동제3노외&안영동제3노외,26대&26대,4,4,3,4,2,315.4150708,"POLYGON ((127.37464907771502 36.2866169693299, 127.37467061835403 36.29112282381735, 127.38023649546933 36.2911052541413, 127.38021463485444 36.28659940253223, 127.37464907771502 36.2866169693299))","(36.2905556, 127.3796743), (36.2905556, 127.3796743)",D+,D+,D,D+,E+
덕명지구 공영(6)&덕명지구 공영(6),21대&21대,2,2,3,2,4,331.7909903,"POLYGON ((127.302557544128 36.35440972851259, 127.30257498298795 36.358915565384706, 127.30814572512699 36.35890132873055, 127.30812796521047 36.35439549418901, 127.302557544128 36.35440972851259))","(36.35783461, 127.3067967), (36.35783461, 127.3067967)",E+,E+,D,E+,D+
수통골 공영주차장 입구 주변&수통골 공영주차장 입구 주변,8대&8대,1,1,2,1,2,353.7690273,"POLYGON ((127.2913831081172 36.345425725094564, 127.29139989740173 36.349931573324355, 127.29697000517169 36.34991786059129, 127.29695289497143 36.34541201460654, 127.2913831081172 36.345425725094564))","(36.34561624, 127.2932526), (36.34561624, 127.2932526)",E,E,E+,E,E+
