주차장명1,주차구획수1,주차장명2,주차구획수2,접근성,수요성,통행량,가용성,활동성,Weighted Distance Sum,geometry1,좌표1,geometry2,좌표2,접근성 등급,수요성 등급,통행량 등급,가용성 등급,활동성 등급
장대동 제2공영&유성장로교회앞&유성장로교회앞,54대&24대&24대,신도시장 주차장&가양2동 39-9～49-23번지선&가양동 노외공영주차장&신도시장 주차장&가양동 노외공영주차장,30대&76대&19대&22대&19대,10,8,10,9,10,196.8503664,"POLYGON ((127.33040960938578 36.354335960183164, 127.33042865351932 36.35884178497724, 127.33599937521988 36.35882624975775, 127.33598001003445 36.35432042750684, 127.33040960938578 36.354335960183164))","(36.35730963, 127.3330482), (36.3545368, 127.3313405), (36.3545368, 127.3313405)","POLYGON ((127.44176581098841 36.344964428413945, 127.44179126464589 36.34947020110858, 127.44736124477745 36.3494494785847, 127.44733547023337 36.344943709282724, 127.44176581098841 36.344964428413945))","(36.34917344, 127.4464207), (36.3487402, 127.4464829), (36.34565328, 127.4434456), (36.34917344, 127.4464207), (36.34565328, 127.4434456)",A+,B+,A+,A,A+
장대동공영주차장주변&장대동 공영&장대동 공영&장대동공영주차장주변,44대&144대&144대&44대,대성동 노외공영주차장&대성동 노외공영주차장,15대&15대,6,4,9,4,10,209.8317072,"POLYGON ((127.33042865351932 36.35884178497724, 127.33044770188322 36.363347606357145, 127.33601874470695 36.36333206859422, 127.33599937521988 36.35882624975775, 127.33042865351932 36.35884178497724))","(36.36000119, 127.331851), (36.36000008, 127.331852), (36.36000008, 127.331852), (36.36000119, 127.331851)","POLYGON ((127.45818457892284 36.29533788025059, 127.45821093077898 36.299843680267124, 127.463777367728 36.29982221761123, 127.46375069577209 36.295316421110456, 127.45818457892284 36.29533788025059))","(36.29951728, 127.4595185), (36.29951728, 127.4595185)",C+,D+,A,D+,A+
신성동애경기술원전면&주막공원~숯골길&신성동애경기술원전면&주막공원~숯골길,64대&65대&64대&65대,도마동 제3공영주차장&도마5길 노상주차장,100대&97대,9,8,8,9,9,216.7721263,"POLYGON ((127.3472809811448 36.390335023814856, 127.34730102401357 36.39484081352698, 127.35287430355513 36.394824477799276, 127.3528539390665 36.39031869076027, 127.3472809811448 36.390335023814856))","(36.39195956, 127.3523248), (36.39070075, 127.3480303), (36.39195956, 127.3523248), (36.39070075, 127.3480303)","POLYGON ((127.38034587139883 36.313634460966966, 127.38036776116347 36.31814029208701, 127.38593555476487 36.31812244581051, 127.3859133445988 36.31361661761328, 127.38034587139883 36.313634460966966))","(36.3154814, 127.3825997), (36.3173246, 127.3834984)",A,B+,B+,A,A
유성경찰서~죽동 622&유성경찰서 인근&유성경찰서 인근&유성경찰서~죽동 622,43대&32대&32대&43대,조달청 주변 노상주차장&도마로 걸친주차장,141대&122대,6,7,7,8,8,222.7478603,"POLYGON ((127.32493286151082 36.37688033552331, 127.32495160539604 36.381386145747, 127.33052393766124 36.38137085773191, 127.33050487236643 36.37686505001028, 127.32493286151082 36.37688033552331))","(36.37878283, 127.325416), (36.37958143, 127.3266296), (36.37958143, 127.3266296), (36.37878283, 127.325416)","POLYGON ((127.38036776116347 36.31814029208701, 127.38038965579025 36.3226461197916, 127.38595776986423 36.322628270592006, 127.38593555476487 36.31812244581051, 127.38036776116347 36.31814029208701))","(36.3192402, 127.3809664), (36.3217161, 127.380468)",C+,B,B,B+,B+
원내동공영&원내동공영,127대&127대,문화1동제2노상&문화1동제3노상&문화1동제3노상&문화1동제2노상,22대&28대&28대&22대,7,6,6,6,6,228.8782057,"POLYGON ((127.31902994067909 36.29579014917857, 127.31904828965057 36.30029602329305, 127.32461485159763 36.3002810394318, 127.32459618249796 36.295775167771815, 127.31902994067909 36.29579014917857))","(36.29832235, 127.3193786), (36.29832235, 127.3193786)","POLYGON ((127.4082066791257 36.31804846748557, 127.40823017610401 36.3225542801498, 127.413798264794 36.32253513413206, 127.41377444734886 36.31802932460332, 127.4082066791257 36.31804846748557))","(36.32092858, 127.4119235), (36.32109597, 127.4135315), (36.32109597, 127.4135315), (36.32092858, 127.4119235)",B,C+,C+,C+,C+
대전원예농협~대신수산&대전원예농협~대신수산,10대&10대,반석동 제2공영&설목마을 공영&반석동 제2공영&설목마을 공영,10대&9대&10대&9대,3,2,8,2,8,235.2558606,"POLYGON ((127.31371646332094 36.35888683236213, 127.31373454830951 36.36339266111725, 127.31930560361315 36.363377902619284, 127.31928719749855 36.35887207628004, 127.31371646332094 36.35888683236213))","(36.36300258, 127.3188584), (36.36300258, 127.3188584)","POLYGON ((127.37523235750332 36.40827384165442, 127.37525402770584 36.4127796039027, 127.38082857108657 36.41276195638724, 127.38080657898367 36.40825619702616, 127.37523235750332 36.40827384165442))","(36.41221825, 127.376797), (36.41222206, 127.3767955), (36.41221825, 127.376797), (36.41222206, 127.3767955)",D,E+,B+,E+,B+
법원-검찰청연장노선&법원-검찰청앞갤러리아옆&법원-검찰청 앞,75대&139대&110대,용문동 공영주차장,28대,5,8,4,7,4,242.8000834,"POLYGON ((127.38611341378726 36.35416894840705, 127.38613566839366 36.35867474585645, 127.39170634386879 36.358656613554814, 127.39168376822103 36.354150819073716, 127.38611341378726 36.35416894840705))","(36.35449244, 127.3892768), (36.35445934, 127.3876875), (36.3544596, 127.3876854)","POLYGON ((127.39159351575462 36.33612760697664, 127.39161607135482 36.34063341512648, 127.397185458082 36.34061503516167, 127.39716258172669 36.33610923002128, 127.39159351575462 36.33612760697664))","(36.3368168, 127.3937159)",C,B+,D+,B,D+
봉산동공영&봉산동공영,50대&50대,읍내어울림공영주차장&법동생활체육공영주차장&읍내어울림공영주차장&법동생활체육공영주차장,35대&34대&35대&34대,2,2,4,2,5,251.7197356,"POLYGON ((127.38096062633828 36.43979644075068, 127.38098265266301 36.44430217617587, 127.38655944645632 36.44428424792638, 127.3865370977314 36.4397785154333, 127.38096062633828 36.43979644075068))","(36.44088156, 127.385204), (36.44088156, 127.385204)","POLYGON ((127.42520382718858 36.372059672797036, 127.42522835083783 36.376565434895774, 127.43080027455751 36.376545471612516, 127.43077542958991 36.372039712781145, 127.42520382718858 36.372059672797036))","(36.37632865, 127.4277639), (36.37496754, 127.428366), (36.37632865, 127.4277639), (36.37496754, 127.428366)",E+,E+,D+,E+,C
목동제1노외&목동제1노외,33대&33대,대사동제3노외&대사동제3노외,21대&21대,3,5,2,4,2,261.930222,"POLYGON ((127.40827718571936 36.33156589522619, 127.40830069835876 36.336071697638005, 127.4138697488763 36.336052542211654, 127.41384591555651 36.33154674293638, 127.40827718571936 36.33156589522619))","(36.33438828, 127.4124509), (36.33438828, 127.4124509)","POLYGON ((127.4137268283248 36.30901769529357, 127.41375063519286 36.3135235116571, 127.41931807773244 36.313504112633595, 127.41929395054107 36.30899829944731, 127.4137268283248 36.30901769529357))","(36.31094828, 127.4189042), (36.31094828, 127.4189042)",D,C,E+,D+,E+
원내동공영&원내동공영,127대&127대,안영동제2노상&안영동제2노상,20대&20대,2,1,2,1,2,276.3351554,"POLYGON ((127.31902994067909 36.29579014917857, 127.31904828965057 36.30029602329305, 127.32461485159763 36.3002810394318, 127.32459618249796 36.295775167771815, 127.31902994067909 36.29579014917857))","(36.29832235, 127.3193786), (36.29832235, 127.3193786)","POLYGON ((127.38021463485444 36.28659940253223, 127.38023649546933 36.2911052541413, 127.3858023677291 36.291087425396626, 127.38578018713943 36.286581576708365, 127.38021463485444 36.28659940253223))","(36.28739026, 127.3814071), (36.28739026, 127.3814071)",E+,E,E+,E,E+
