주차장명1,주차구획수1,주차장명2,주차구획수2,주차장명3,주차구획수3,접근성,수요성,통행량,가용성,활동성,Column1,Weighted Distance Sum,geometry1,좌표1,geometry2,좌표2,geometry3,좌표3,접근성 등급,수요성 등급,통행량 등급,가용성 등급,활동성 등급
학하지구 공영(11)&학하지구 공영(7)&학하지구 공영(8)&학하지구 공영(8)&학하지구 공영(11)&학하지구 공영(7),39대&46대&45대&45&대39대&46대,봉명동 카페거리&봉명동 카페거리&관평동1공영&용산동공영&관평동1공영&용산동공영,182대&182대&48대&27대&48대&27대,신흥삼거리~제1치수교,25대,10,6,10,9,10,,158.3638849,"POLYGON ((127.30805696497713 36.336372121895636, 127.30807470912237 36.34087797008773, 127.31364416352147 36.340863483210086, 127.31362609860568 36.33635763739, 127.30805696497713 36.336372121895636))","(36.33958785, 127.3080724), (36.33899487, 127.3105585), (36.33723947, 127.3121272), (36.33723947, 127.3121272), (36.33958785, 127.3080724), (36.33899487, 127.3105585)","POLYGON ((127.39202293000741 36.42173737736708, 127.3920455809967 36.4262431205668, 127.39762107562656 36.42622468335775, 127.39759810252572 36.421718943173964, 127.39202293000741 36.42173737736708))","(36.42318294, 127.3936824), (36.42318294, 127.3936824), (36.42320569, 127.3936928), (36.42202516, 127.3963662), (36.42320569, 127.3936928), (36.42202516, 127.3963662)","POLYGON ((127.44163862746525 36.32243551363907, 127.4416640528723 36.32694130343372, 127.44723242928309 36.32692059786919, 127.44720668334551 36.32241481146526, 127.44163862746525 36.32243551363907))","(36.32268947, 127.4440077)",A+,C+,A+,A,A+
숯골원냉면 주변&신성동 제1공영&신성동 제2공영&럭키하나아파트 주변&신성동 제1공영&신성동 제2공영&신성동 한울(아)옆&럭키하나아파트 주변,13대&42대&70대&14대&42대&70대&22대&14대,문화1동제2노상&문화1동제3노상&문화1동제3노상&문화1동제2노상,22대&28대&28대&22대,읍내어울림공영주차장&법동생활체육공영주차장&읍내어울림공영주차장&법동생활체육공영주차장,35대&34대&35대&34대,9,9,9,9,9,,183.0030522,"POLYGON ((127.3472609427274 36.38582923068654, 127.3472809811448 36.390335023814856, 127.3528539390665 36.39031869076027, 127.35283357910066 36.38581290030477, 127.3472609427274 36.38582923068654))","(36.39006225, 127.3500838), (36.39026092, 127.3496679), (36.38851994, 127.3488631), (36.38644889, 127.3480569), (36.39026092, 127.3496679), (36.38851994, 127.3488631), (36.39007699, 127.3500981), (36.38644889, 127.3480569)","POLYGON ((127.4082066791257 36.31804846748557, 127.40823017610401 36.3225542801498, 127.413798264794 36.32253513413206, 127.41377444734886 36.31802932460332, 127.4082066791257 36.31804846748557))","(36.32092858, 127.4119235), (36.32109597, 127.4135315), (36.32109597, 127.4135315), (36.32092858, 127.4119235)","POLYGON ((127.42520382718858 36.372059672797036, 127.42522835083783 36.376565434895774, 127.43080027455751 36.376545471612516, 127.43077542958991 36.372039712781145, 127.42520382718858 36.372059672797036))","(36.37632865, 127.4277639), (36.37496754, 127.428366), (36.37632865, 127.4277639), (36.37496754, 127.428366)",A,A,A,A,A
관저제10공한지무료주차장&도안중로 노상주차장,11대&29대,갈마2동공영주차장&갈마동제1공영주차장,277대&80대,천동 주차장&천동 주차장,14대&8대,9,10,8,9,8,,189.6274339,"POLYGON ((127.33576727662263 36.30475615744076, 127.33578659455465 36.30926201723962, 127.34135378431222 36.309246250735164, 127.34133414611264 36.30474039351874, 127.33576727662263 36.30475615744076))","(36.3062193, 127.3359279), (36.3082825, 127.3358103)","POLYGON ((127.36935975235019 36.34521015598222, 127.36938103437002 36.349715968913465, 127.37495108244346 36.349698621410425, 127.37492947952151 36.345192811319286, 127.36935975235019 36.34521015598222))","(36.3483351, 127.3710663), (36.3471837, 127.3731923)","POLYGON ((127.44158779358857 36.31342392379143, 127.44161320770445 36.317929720424914, 127.44718094312537 36.31790902164145, 127.44715520862131 36.31340322839791, 127.44158779358857 36.31342392379143))","(36.31619595, 127.446539), (36.31619595, 127.446539)",A,A+,B+,A,B+
무궁화아파트 주변 노상주차장,32대,유천2동제1노상&유천2동제3노상&문화2동제1노상&문화2동제1노상&유천2동제1노상&유천2동제3노상,102대&35대&45대&45대&102대&35대,용호마을테마먹거리촌공영주차장&용호마을테마먹거리촌공영주차장,47대&47대,9,9,8,9,6,,195.0938946,"POLYGON ((127.37501592000557 36.36321603118559, 127.37503754212864 36.367721827610666, 127.38060886972046 36.3677042089524, 127.38058692641117 36.36319841541125, 127.37501592000557 36.36321603118559))","(36.3635178, 127.3773184)","POLYGON ((127.39704827613107 36.31358015306613, 127.39707112709658 36.31808597529036, 127.40263890568454 36.318067351048164, 127.40261573432102 36.313561531874136, 127.39704827613107 36.31358015306613))","(36.31377283, 127.4018983), (36.31495743, 127.402597), (36.3138967, 127.4022589), (36.3138967, 127.4022589), (36.31377283, 127.4018983), (36.31495743, 127.402597)","POLYGON ((127.44790383474194 36.44406984344262, 127.44792973554296 36.448575537446345, 127.45350678748751 36.44855447963925, 127.45348056422941 36.44404878907924, 127.44790383474194 36.44406984344262))","(36.44832071, 127.4512973), (36.44832071, 127.4512973)",A,A,B+,A,C+
죽동장애인복지관~북대전세무서&죽동공영&죽동장애인복지관~북대전세무서&죽동공영,39대&156대&39대&156대,서구청 앞&을지병원주변&을지병원 주변 노상주차장,142대&153대&154대,중촌동제8노상&중촌동제8노상,40대&49대,5,8,7,7,7,,200.4251422,"POLYGON ((127.3193792689671 36.38140117383698, 127.31939769553415 36.385906983105755, 127.32497035344504 36.38589195255598, 127.32495160539604 36.381386145747, 127.3193792689671 36.38140117383698))","(36.38140838, 127.3233637), (36.38230621, 127.3229484), (36.38140838, 127.3233637), (36.38230621, 127.3229484)","POLYGON ((127.38054305441118 36.35418681807782, 127.38056498797512 36.358692618453, 127.38613566839366 36.35867474585645, 127.38611341378726 36.35416894840705, 127.38054305441118 36.35418681807782))","(36.35505601, 127.3833576), (36.35530056, 127.381988), (36.35530056, 127.381988)","POLYGON ((127.40832421622085 36.34057749663206, 127.4083477393069 36.345083292208116, 127.41391743139894 36.34506413050756, 127.41389358749004 36.34055833806877, 127.40832421622085 36.34057749663206))","(36.34254883, 127.4103435), (36.34254883, 127.4103435)",C,B+,B,B,B
카운티스 앞&카운티스 앞,53대&53대,오류동제1노외&오류동제2노외&용두동제1노외&용두동제1노외&오류동제1노외&오류동제2노외,7대&24대&42대&42대&7대&24대,목동제2노외&목동제2노외,51대&51대,4,4,5,5,7,,206.078644,"POLYGON ((127.31375263731535 36.367898486458905, 127.31377073033939 36.37240430838688, 127.31934242810914 36.37238954505632, 127.31932401381634 36.367883725544765, 127.31375263731535 36.367898486458905))","(36.3704034, 127.317291), (36.3704034, 127.317291)","POLYGON ((127.40823017610401 36.3225542801498, 127.4082536783015 36.32706008939672, 127.41382208752948 36.32704094024313, 127.413798264794 36.32253513413206, 127.40823017610401 36.3225542801498))","(36.32320782, 127.4099592), (36.32376733, 127.4102098), (36.32616718, 127.409629), (36.32616718, 127.409629), (36.32320782, 127.4099592), (36.32376733, 127.4102098)","POLYGON ((127.4082536783015 36.32706008939672, 127.40827718571936 36.33156589522619, 127.41384591555651 36.33154674293638, 127.41382208752948 36.32704094024313, 127.4082536783015 36.32706008939672))","(36.32893928, 127.4099207), (36.32893928, 127.4099207)",D+,D+,C,C,B
산성동제13노상,15대,변동제4공한지무료주차장&변동제6공한지무료주차장&변동제1공한지무료주차장,27대&6대&9대,중리미래공영주차장&중리미래공영주차장,50대&51대,7,8,5,7,3,,212.3727846,"POLYGON ((127.38028023126684 36.30011694711601, 127.38030210645162 36.30462278848131, 127.38586893906219 36.30460495097223, 127.38584674368938 36.30009911252871, 127.38028023126684 36.30011694711601))","(36.30342557, 127.3827292)","POLYGON ((127.38038965579025 36.3226461197916, 127.38041155528028 36.327151944080605, 127.38597998989808 36.32713409195753, 127.38595776986423 36.322628270592006, 127.38038965579025 36.3226461197916))","(36.3267694, 127.385184), (36.3271348, 127.3843792), (36.3255532, 127.3817853)","POLYGON ((127.41958383080532 36.36306783207914, 127.41960802238626 36.36757360424223, 127.42517930898568 36.36755390727809, 127.42515479622786 36.363048138339074, 127.41958383080532 36.36306783207914))","(36.36564901, 127.4244429), (36.36564901, 127.4244429)",B,B+,C,B,D
유천2동제1노상&유천2동제3노상&문화2동제1노상&문화2동제1노상&유천2동제1노상&유천2동제3노상,102대&35대&45대&45대&102대&35대,중리미래공영주차장&중리미래공영주차장,50대&51대,자양동 우송대학교 동 캠퍼스 담길&자양동 공영주차장&자양동 우송대학교 동 캠퍼스 담길,30대&63대&30대,5,5,3,5,3,,219.7175217,"POLYGON ((127.39704827613107 36.31358015306613, 127.39707112709658 36.31808597529036, 127.40263890568454 36.318067351048164, 127.40261573432102 36.313561531874136, 127.39704827613107 36.31358015306613))","(36.31377283, 127.4018983), (36.31495743, 127.402597), (36.3138967, 127.4022589), (36.3138967, 127.4022589), (36.31377283, 127.4018983), (36.31495743, 127.402597)","POLYGON ((127.41958383080532 36.36306783207914, 127.41960802238626 36.36757360424223, 127.42517930898568 36.36755390727809, 127.42515479622786 36.363048138339074, 127.41958383080532 36.36306783207914))","(36.36564901, 127.4244429), (36.36564901, 127.4244429)","POLYGON ((127.44725818093934 36.33142638085308, 127.44728393831559 36.33593216041673, 127.4528529502797 36.335911188585705, 127.45282687223182 36.331405412456014, 127.44725818093934 36.33142638085308))","(36.33530979, 127.4520705), (36.33341035, 127.449554), (36.33530979, 127.4520705)",C,C,D,C,D
계룡스파텔 정문앞&상수도사업본부 유성사업소 주변&계룡스파텔 옆&계룡스파텔 정문앞&상수도사업본부 유성사업소 주변&계룡스파텔 옆,58대&12대&29대&58대&12대&29대,안영동제3노외&안영동제3노외,26대&26대,안영동제2노상&안영동제2노상,20대&20대,2,3,2,2,3,,229.0252291,"POLYGON ((127.34712079835852 36.35428858314869, 127.34714080564476 36.35879440018575, 127.35271151422648 36.35877808583453, 127.3526911858913 36.35427227146817, 127.34712079835852 36.35428858314869))","(36.35513271, 127.3478811), (36.3587336, 127.3521076), (36.35513271, 127.3478811), (36.35513271, 127.3478811), (36.3587336, 127.3521076), (36.35513271, 127.3478811)","POLYGON ((127.37464907771502 36.2866169693299, 127.37467061835403 36.29112282381735, 127.38023649546933 36.2911052541413, 127.38021463485444 36.28659940253223, 127.37464907771502 36.2866169693299))","(36.2905556, 127.3796743), (36.2905556, 127.3796743)","POLYGON ((127.38021463485444 36.28659940253223, 127.38023649546933 36.2911052541413, 127.3858023677291 36.291087425396626, 127.38578018713943 36.286581576708365, 127.38021463485444 36.28659940253223))","(36.28739026, 127.3814071), (36.28739026, 127.3814071)",E+,D,E+,E+,D
도솔로 걸친주차장,39대,문화1동제5노외&문화1동제8노상&문화1동제5노외&문화1동제8노상,5대&33대&5대&33대,대사동제1노상&대사동제1노상,25대&25대,2,4,1,3,1,,243.3598963,"POLYGON ((127.397185458082 36.34061503516167, 127.39720833951876 36.34512083688478, 127.40277804198973 36.34510219433412, 127.40275483972778 36.340596395663276, 127.397185458082 36.34061503516167))","(36.3406963, 127.3981085)","POLYGON ((127.40815970082176 36.30903683190588, 127.40818318736534 36.31354265140421, 127.41375063519286 36.3135235116571, 127.4137268283248 36.30901769529357, 127.40815970082176 36.30903683190588))","(36.31294008, 127.4112948), (36.30939039, 127.4103359), (36.31294008, 127.4112948), (36.30939039, 127.4103359)","POLYGON ((127.41377444734886 36.31802932460332, 127.413798264794 36.32253513413206, 127.41936634819363 36.32251572875296, 127.41934221028289 36.3180099224022, 127.41377444734886 36.31802932460332))","(36.3203416, 127.4174708), (36.3203416, 127.4174708)",E+,D+,E,D,E
,,,,,,,,,,,,,,,,,,,,,,,
